0,WeatherTech Raceway Laguna Seca,California,usa,Full Circuit,3.60
1,WeatherTech Raceway Laguna Seca,California,usa,Short Circuit,2.96
3,Road America,Wisconsin,usa,Full Circuit,6.52
5,Road America,Wisconsin,usa,East Route,3.52
16,Road Atlanta,Georgia,usa,Full,4.10
17,Road Atlanta,Georgia,usa,Club,2.85
21,Silverstone Racing Circuit,Silverston,gbr,Grand Prix Circuit,5.89
22,Silverstone Racing Circuit,Silverston,gbr,National Circuit,2.64
23,Silverstone Racing Circuit,Silverston,gbr,International Circuit,2.98
31,Nürburgring,Nürburg,ger,Full Circuit,25.38
32,Nürburgring,Nürburg,ger,Nordschleife,20.83
33,Nürburgring,Nürburg,ger,GP Circuit,5.15
34,Nürburgring,Nürburg,ger,Sprint Circuit,3.63
35,Mugello Circuit,Tuscany,ita,Full Circuit,5.25
36,Mugello Circuit,Tuscany,ita,Club Circuit,2.58
37,Suzuka Circuit,Suzuka,jpn,Full Circuit,5.81
38,Suzuka Circuit,Suzuka,jpn,East Circuit,2.25
40,Sebring International,Sebring,usa,Full,6.02
42,Sebring International,Sebring,usa,Short,3.54
67,Maple Valley,Vermont,usa,Full Circuit,4.81
68,Maple Valley,Vermont,usa,Short Circuit,1.85
70,Maple Valley,Vermont,usa,Short Circuit Reverse,1.85
100,Le Mans - Circuit International de la Sarthe,Le Mans,fra,Full Circuit,13.63
101,Le Mans - Circuit International de la Sarthe,Le Mans,fra,Old Mulsanne Circuit,13.54
110,Circuit de Barcelona-Catalunya,Barcelona,esp,Grand Prix Circuit,4.66
111,Circuit de Barcelona-Catalunya,Barcelona,esp,National Circuit,3.07
113,Circuit de Barcelona-Catalunya,Barcelona,esp,National Circuit Alt,3.00
231,Indianapolis Motor Speedway,Indianapolis,usa,The Brickyard Speedway,4.02
232,Indianapolis Motor Speedway,Indianapolis,usa,Grand Prix Circuit,3.93
250,Hockenheimring,Hockenheim,ger,Full Circuit,4.57
251,Hockenheimring,Hockenheim,ger,National Circuit,3.69
252,Hockenheimring,Hockenheim,ger,Short Circuit,2.64
510,Yas Marina Circuit,Abu Dhabi,uae,Full Circuit,5.28
511,Yas Marina Circuit,Abu Dhabi,uae,North Circuit,3.00
512,Yas Marina Circuit,Abu Dhabi,uae,South Circuit,2.19
513,Yas Marina Circuit,Abu Dhabi,uae,North Corkscrew,2.29
530,Circuit de Spa-Francorchamps,Spa,bel,Full Circuit,7.00
840,Daytona Intl Speedway,Daytona,usa,Sports Car Circuit,5.78
841,Daytona Intl Speedway,Daytona,usa,Tri-Oval Circuit,4.02
860,Brand Hatch,West Kingsdown,uk,Tor Grand Prix,3.70
861,Brand Hatch,West Kingsdown,uk,Tor Indy,1.93
870,Watkins Glen International Speedway,New York,usa,Full Circuit,5.55
873,Watkins Glen International Speedway,New York,usa,Short Circuit,3.94
880,Lime Rock Park,Connecticut,usa,Full Circuit,2.41
882,Lime Rock Park,Connecticut,usa,South Chicane,2.37
883,Lime Rock Park,Connecticut,usa,Full Circuit Alt,2.41
990,Virginia International Raceway,Virginia,usa,Full,5.26
991,Virginia International Raceway,Virginia,usa,North,3.62
992,Virginia International Raceway,Virginia,usa,South,2.66
995,Virginia International Raceway,Virginia,usa,Grand West,6.60
996,Virginia International Raceway,Virginia,usa,Grand East,6.76
1110,Homestead-Miami Speedway,Florida,usa,Speedway Circuit,2.41
1111,Homestead-Miami Speedway,Florida,usa,Road Circuit,3.56
1450,Mid-Ohio Sports Car Course,Ohio,usa,Full Circuit,3.62
1452,Mid-Ohio Sports Car Course,Ohio,usa,Short Circuit,2.82
1590,Kyalami Grand Prix Circuit,Midrand,rsa,Grand Prix Circuit,4.53
1630,Grand Oak Raceway,New Hampshire,usa,National Circuit,3.73
1631,Grand Oak Raceway,New Hampshire,usa,Club Circuit,2.62
1632,Grand Oak Raceway,New Hampshire,usa,National Circuit Reverse,3.73
1640,Hakone,Hakone,jpn,Grand Prix Circuit,4.28
1641,Hakone,Hakone,jpn,Club Circuit,3.32
1643,Hakone,Hakone,jpn,Club Circuit Reverse,3.32
1660,Eaglerock Speedway,Iowa,usa,Oval Circuit,1.64
1661,Eaglerock Speedway,Iowa,usa,Club Circuit,1.72
1663,Eaglerock Speedway,Iowa,usa,Club Circuit Reverse,1.72
